,0,1,2,3
faceframe_second52_frame1574_0,0.7548054383699053,0.0940478845353864,0.07601619259258188,0.07513048450212641
faceframe_second52_frame1581_0,0.7679514691035465,0.08878323394879159,0.07202994520158185,0.07123535174608014
faceframe_second52_frame1589_0,0.7730372637705657,0.08717325545892031,0.07028749155605847,0.06950198921445547
faceframe_second13_frame404_0,0.8605951291550555,0.05060128438290982,0.04379362815549802,0.04500995830653662
faceframe_second13_frame404_1,0.02872714942274796,0.03216339617687253,0.2944052621537686,0.08373617310049772
faceframe_second13_frame404_2,0.01428553174893363,0.9624938783094321,0.011970767704276184,0.011249822237358119
faceframe_second13_frame411_0,0.8649949602722024,0.04902778145526121,0.042401884379175254,0.04357537389336121
faceframe_second13_frame411_1,0.02874581070308476,0.03228315129855365,0.2915296366413073,0.08316508852012468
faceframe_second13_frame411_2,0.018491748670961674,0.911568578686999,0.015471002676537924,0.014527490968350442
faceframe_second13_frame419_0,0.8691012709632486,0.04762348801772088,0.04108436712106323,0.042190873897967156
faceframe_second13_frame419_1,0.029330463666952335,0.03277594883747855,0.31405042007766154,0.08569128082338733
faceframe_second13_frame419_2,0.012156808472377044,0.9680806492868532,0.010185048129426055,0.009577494111343638
faceframe_second14_frame427_0,0.8726487582713564,0.046391311258048906,0.03995895409748146,0.04100097637311314
faceframe_second14_frame427_1,0.028669720731990894,0.03201756223916215,0.2941727959152181,0.08420089036394365
faceframe_second14_frame427_2,0.0189381080856335,0.9150409160834195,0.01586057655073809,0.014890660692859992
faceframe_second14_frame434_0,0.8822423594471807,0.043062761330426094,0.03689619472785292,0.037798684494540526
faceframe_second14_frame434_1,0.028762415915658604,0.03220117208015553,0.2953631404964958,0.08400910114347011
faceframe_second14_frame434_2,0.02604023224707429,0.9316610841741833,0.021820799775855753,0.02047788380288659
faceframe_second14_frame441_0,0.9007291518020697,0.03633286671522389,0.031117471040956184,0.03182051044175027
faceframe_second14_frame441_1,0.014813946132073968,0.9611194638291151,0.012407468207592228,0.011659121831218871
faceframe_second14_frame441_2,0.02896225252556099,0.03241837927047874,0.3030567400219432,0.08480935923947731
faceframe_second14_frame449_0,0.9025434097263663,0.03570811753483765,0.030532601937670403,0.03121587080112556
faceframe_second14_frame449_1,0.011842439859961924,0.9688927527076506,0.009929332332521143,0.009335475099866394
faceframe_second14_frame449_2,0.02903617110567323,0.03263385279583248,0.29404791363585303,0.08405626102496899
faceframe_second15_frame457_0,0.9025134842688202,0.03566287551746888,0.030554254462500294,0.03126938575121075
faceframe_second15_frame457_1,0.008346918716408604,0.9780259816842051,0.007022790537337239,0.006604309062049074
faceframe_second15_frame457_2,0.02902935280059077,0.03249293201448639,0.30467542635609435,0.08491829738598344
faceframe_second15_frame464_0,0.9239530663456375,0.02808252424324262,0.02377385327921737,0.024190556131902366
faceframe_second15_frame464_1,0.024965540300732527,0.02726641684549178,0.6056471448483274,0.08532203143396078
faceframe_second15_frame464_2,0.009781509944910205,0.9742801813307158,0.008213765282855804,0.0077245434415180655
