name,cluster,x,y,second,frame,disgust,anger,sadness,neutral,contempt,surprise,happy,fear
faceframe_second142_frame3568_2,1,7.4537635,10.841483,142,3568,0.12025173008441925,0.22043155133724213,0.1262502670288086,0.1600167602300644,0.09840904921293259,,,
faceframe_second142_frame3568_3,-1,12.662793,11.325189,142,3568,0.13941650092601776,0.14210493862628937,0.14228053390979767,,0.12420124560594559,0.12107635289430618,,
faceframe_second142_frame3568_4,-1,6.6681542,7.18736,142,3568,0.16780340671539307,0.15624289214611053,,0.13102418184280396,,0.10822001844644547,0.14929209649562836,
faceframe_second142_frame3574_0,1,6.776501,11.868951,142,3574,0.12908414006233215,0.32763516902923584,0.16866174340248108,0.09046385437250137,0.08620589226484299,,,
faceframe_second142_frame3574_1,-1,6.6604576,7.1934347,142,3574,0.17242194712162018,0.14590992033481598,0.11687891185283661,,0.1262172907590866,,0.13579608500003815,
faceframe_second142_frame3574_2,-1,12.757693,11.391779,142,3574,0.14067134261131287,0.12905962765216827,0.1406167596578598,,0.13420774042606354,0.13008558750152588,,
faceframe_second142_frame3574_3,-1,12.080974,4.479132,142,3574,0.27293136715888977,0.10102172195911407,,,0.15213268995285034,0.11669544875621796,0.11286383122205734,
faceframe_second102_frame2574_0,0,10.570107,1.9132861,102,2574,0.2513222396373749,0.19209732115268707,0.15815305709838867,0.09861277788877487,,0.0913977324962616,,
faceframe_second102_frame2574_1,1,8.161493,11.551186,102,2574,0.29643651843070984,0.12844917178153992,0.09134326130151749,,0.11400102823972702,,0.16445286571979523,
faceframe_second106_frame2674_0,0,9.558764,2.5715654,106,2674,0.16039621829986572,0.24302677810192108,0.1628083884716034,0.11112967133522034,,0.10933610051870346,,
faceframe_second106_frame2674_1,0,7.140385,7.4417133,106,2674,0.1897752434015274,0.13198134303092957,0.09038512408733368,,0.19988936185836792,,0.16447752714157104,
faceframe_second106_frame2674_2,0,7.1643066,7.300255,106,2674,0.1798936426639557,0.12026781588792801,0.13813874125480652,,0.18048378825187683,,0.13609516620635986,
faceframe_second10_frame274_0,1,7.8989787,10.904309,10,274,0.12265077978372574,0.1289583295583725,0.17491565644741058,0.1252235770225525,0.12677955627441406,,,
faceframe_second128_frame3224_0,2,4.474678,10.323198,128,3224,0.2448381632566452,0.2119142711162567,0.12098196893930435,0.11631902307271957,0.0829237625002861,,,
faceframe_second135_frame3399_0,0,10.97064,1.8219352,135,3399,0.2955593466758728,0.11952096968889236,0.10780525952577591,0.101628378033638,,0.12198951840400696,,
faceframe_second143_frame3580_0,1,6.930104,11.923101,143,3580,0.15795642137527466,0.2821159362792969,0.11324146389961243,0.1389497071504593,,,0.09041439741849899,
faceframe_second143_frame3580_1,-1,12.773179,11.35961,143,3580,0.13844522833824158,0.13165657222270966,0.1292986273765564,0.13021288812160492,,0.1286318004131317,,
faceframe_second143_frame3580_2,1,7.3213363,11.493849,143,3580,0.17107267677783966,0.16362665593624115,0.1515757143497467,0.110205739736557,0.11666810512542725,,,
faceframe_second147_frame3680_0,-1,10.521416,10.15742,147,3680,0.23611652851104736,,,0.14758802950382233,0.12965446710586548,0.1678062528371811,,0.10060326755046844
faceframe_second150_frame3755_0,0,10.0827465,1.8035048,150,3755,0.16055531799793243,0.17470958828926086,0.1600887030363083,0.12543237209320068,0.15998484194278717,,,
faceframe_second158_frame3955_0,0,9.6167965,4.4378076,158,3955,0.1840885430574417,0.180944561958313,0.12164594978094101,,0.12050770223140717,0.12564201653003693,,
faceframe_second161_frame4030_0,-1,2.7311664,5.5190935,161,4030,,0.10201014578342438,0.29586371779441833,0.17627722024917603,0.14377522468566895,,,0.09844450652599335
