name,cluster,x,y,frame,second,positive,neutral,negative
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second142_frame3574.jpg,4,15.21385,0.7741888,3574,142,0.7096090316772461,0.28511396050453186,0.005277043674141169
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second17_frame443.jpg,5,7.55696,-4.3805995,443,17,0.21168498694896698,0.7532691359519958,0.035045888274908066
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second17_frame449.jpg,5,7.559639,-4.3780284,449,17,0.30037784576416016,0.6490184664726257,0.050603654235601425
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second18_frame455.jpg,5,7.598755,-4.3392735,455,18,0.14651280641555786,0.8192521929740906,0.03423503786325455
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second18_frame461.jpg,5,7.576283,-4.3617063,461,18,0.1453307718038559,0.8175835013389587,0.03708566725254059
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second18_frame468.jpg,5,7.5617824,-4.3759847,468,18,0.1379382163286209,0.8148711323738098,0.04719061404466629
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second18_frame474.jpg,5,7.568795,-4.3690405,474,18,0.2104925811290741,0.7225273847579956,0.0669800341129303
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second19_frame480.jpg,5,7.574516,-4.3637366,480,19,0.4635089933872223,0.19053126871585846,0.34595975279808044
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second19_frame486.jpg,5,7.5542173,-4.3834076,486,19,0.47110918164253235,0.22716179490089417,0.3017290532588959
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second19_frame493.jpg,5,7.581315,-4.356638,493,19,0.38751617074012756,0.14802370965480804,0.4644600749015808
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second19_frame499.jpg,5,7.5624833,-4.3754973,499,19,0.37365466356277466,0.3843681514263153,0.2419772446155548
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second1_frame30.jpg,5,6.478641,3.6667252,30,1,0.34919819235801697,0.43631839752197266,0.2144833356142044
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second1_frame36.jpg,5,6.4693093,3.64715,36,1,0.3487814664840698,0.4362010061740875,0.2150174230337143
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second1_frame43.jpg,5,6.5535626,3.7349837,43,1,0.3487814664840698,0.4362010061740875,0.2150174230337143
