,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
faceframe_second0_frame7_1,0.026599473187699008,0.027732093236884046,0.15176990036767207,0.08219080701546241,0.03292550985953126,0.054277164117277794,0.027124019327946326,0.03444789216175702,0.049161707630006,0.047604580559772784,0.030250361340223127,0.02963915174679835,0.03335580595128778,0.03307886122921158,0.032474622528559365,0.03230803107665933,0.03857187471365112
faceframe_second0_frame7_2,7.355697124481115e-309,1.0,2.94046911981276e-309,3.12435564549089e-309,2.54375249694289e-309,3.88467142468868e-309,3.078845870778054e-309,4.091636891796983e-309,4.139654326292397e-309,4.916920142726075e-309,2.594446123715313e-309,3.74471406336883e-309,3.85024505549544e-309,3.613129313396704e-309,3.709766836007e-309,2.931751080224857e-309,3.34661254832624e-309
faceframe_second100_frame3007_0,0.010341526488640016,0.011019359619446008,0.01696548881924239,0.015218435825498176,0.012460102991129688,0.7765897716786703,0.013220582464505078,0.01711748488907007,0.020468831672232353,0.01592852160266927,0.011229774477204567,0.01414540679734301,0.014885775832937874,0.014647051318601974,0.01448060691043516,0.010399754074460095,0.010881524537913969
faceframe_second100_frame3014_0,0.008897460324345928,0.009433178969216959,0.014421513124772887,0.013028558492163101,0.010689801753917367,0.807551019796606,0.0114067889844129,0.014581231433033472,0.017832655230053663,0.013790726572160248,0.009683966017225158,0.012223096849551772,0.012883221002524425,0.012730549953959275,0.012564922370287961,0.00894652834682659,0.009334780778942328
faceframe_second100_frame3021_0,0.012209176513823793,0.012690102496706627,0.019979319135573458,0.01817725943387747,0.015030034813497168,0.44543875643360864,0.015731877403759007,0.019263996531650694,0.024661183487897035,0.018832877244627566,0.013131795623386299,0.016273343884360702,0.017504866245002342,0.017472523656966065,0.01719854528991186,0.012249032476736445,0.01282931448353549
faceframe_second100_frame3029_0,0.014206490572460321,0.015741832948546364,0.018269557140975938,0.01934960995443418,0.0102064322393492,0.01981267387533526,0.0111584710980167,0.013987094250778405,0.05132804902892459,0.6984676814788948,0.01661138554252267,0.01926727859569756,0.019296421464232452,0.021100707129865576,0.019559679359670658,0.015506505986822058,0.016130129333473433
faceframe_second100_frame3029_1,0.011433134998775046,0.011922072786784,0.018715869095505783,0.016966334960062106,0.014044051091951807,0.4893293986928971,0.014705633336156258,0.01814307475108718,0.02288238435431302,0.01754658103606752,0.012257131918934117,0.015219686438971933,0.016327635617268344,0.016253368403825418,0.01601544167901629,0.01143829384378672,0.011993932010787413
faceframe_second101_frame3037_0,0.008391140790843318,0.009461693776811825,0.011553791388318921,0.012823432327930807,0.006743795409761807,0.013455097928973073,0.007411183666074148,0.009467591183097614,0.03804999548101787,0.792738994901938,0.011789160626397609,0.013553271328952324,0.013817236896794465,0.015250729971526343,0.014034101840204859,0.010782224284984146,0.01067655819637274
faceframe_second101_frame3037_1,0.010635177183830951,0.011101481044404417,0.01737621385830093,0.015724364610583078,0.012994727358808354,0.5083218848218003,0.013639644465497223,0.016858818177627244,0.02128476493418094,0.016333960690221545,0.011387578241475673,0.01416718482641786,0.015163403718343904,0.015092809860405497,0.01486987436797061,0.010613592783172159,0.011129394387546992
faceframe_second101_frame3044_0,0.014939807830350373,0.016794675077521373,0.020179705210098722,0.022675931562291345,0.011879317313290278,0.023218017970797943,0.013027128432570749,0.01656318352533896,0.06567086949976429,0.6370035948100815,0.020480117866898597,0.023481630424689596,0.024306778500535656,0.026860993743093812,0.024714802218874263,0.01913954467525418,0.019063901338548215
