,0,1
faceframe_second16_frame487_2,0.09739660487070102,0.3339685688808391
faceframe_second16_frame494_0,0.09714478567904683,0.3360552550732414
faceframe_second16_frame501_0,0.09683297423110036,0.354493376199163
faceframe_second16_frame509_0,0.09733351705263019,0.33054274147103013
faceframe_second17_frame524_0,0.09539429116668288,0.32993866387592635
faceframe_second17_frame531_0,0.09554760299314646,0.33089250654177216
faceframe_second17_frame539_0,0.09653121979928159,0.3392863932108629
faceframe_second13_frame397_0,4.76571098071733e-310,1.0
faceframe_second13_frame397_1,0.03697007182648087,0.05444239435645409
faceframe_second17_frame517_0,0.09705759819912682,0.3219980685505443
faceframe_second39_frame1177_0,0.09861079381513423,0.3476900825724959
faceframe_second39_frame1177_1,0.09912810578713403,0.4022779204598087
faceframe_second42_frame1267_0,1.0,4.89871597774572e-310
faceframe_second4_frame127_0,0.08019349842115678,0.29024298597090054
faceframe_second57_frame1717_0,4.8587636505315e-310,1.0
faceframe_second6_frame187_0,0.025493408805888303,0.9395244689600192
faceframe_second80_frame2407_0,0.06256330241671199,0.08218319774889411
faceframe_second95_frame2857_0,0.0711248990376726,0.07142703746551547
faceframe_second2_frame67_0,0.04356699355242895,0.6600379685595099
faceframe_second2_frame74_0,0.04411951761650724,0.7109589711772245
faceframe_second2_frame81_0,0.03974277575621348,0.7017287461683261
faceframe_second2_frame89_0,0.04036983410726432,0.698284811852801
faceframe_second32_frame981_0,4.6609959318645e-310,1.0
faceframe_second32_frame989_0,4.64616350695224e-310,1.0
faceframe_second33_frame1004_0,4.6671280210565e-310,1.0
faceframe_second33_frame1011_0,4.791052335065e-310,1.0
faceframe_second33_frame1019_0,4.8360984635608e-310,1.0
faceframe_second33_frame1019_1,0.03524460397644059,0.6294050772699579
faceframe_second33_frame997_0,4.6604405592937e-310,1.0
faceframe_second38_frame1147_0,0.09861278869225544,0.3480533538968417
faceframe_second38_frame1154_0,0.09862516208018764,0.3340895155284555
faceframe_second38_frame1154_1,0.01387475281918797,0.854788535976555
