,0,1,2,3,4,5
faceframe_second10_frame314_3,1.107287442896887e-309,1.55436493287387e-309,1.667867465347634e-309,1.0,1.35853993969861e-309,1.07220866706691e-309
faceframe_second10_frame314_4,0.05753671559683407,0.04506519591505918,0.04577239957918515,0.03993719095070177,0.05807106647951021,0.054163228382438054
faceframe_second10_frame314_5,0.010912912542350488,0.012105295123860755,0.012899382089428696,0.010386990010367638,0.023449581005468192,0.9203331069993808
faceframe_second10_frame321_0,0.017537000307754628,0.02484852081595702,0.5774433089235163,0.03183102686027805,0.026460984345673812,0.025119068478915676
faceframe_second10_frame321_1,1.751679595956633e-309,1.69358606439848e-309,1.488785134379574e-309,1.33043542642414e-309,1.0,2.070020219826846e-309
faceframe_second10_frame321_2,1.103576488029336e-309,1.0,1.355577374471136e-309,1.476658543151222e-309,1.675687294175977e-309,1.08693375016957e-309
faceframe_second10_frame321_3,0.0022797860888842266,0.0031910156345964866,0.0034189596190161617,0.9452057016801289,0.0027942866440383777,0.0022055160131040233
faceframe_second10_frame321_4,0.057570800340452574,0.04494793012290108,0.045606075903959785,0.03983886611257903,0.05795383540354367,0.0540337809086842
faceframe_second10_frame321_5,0.008695062015685921,0.00965111654283465,0.010299660660996007,0.008281530165968123,0.018716763779936342,0.9376226753381286
faceframe_second10_frame329_0,0.019757599777626186,0.02817288995601989,0.5031996607092906,0.03612710321185783,0.029837086671171166,0.028663524383030034
faceframe_second10_frame329_1,0.0077999489482434015,0.007585254491419676,0.006684944012750404,0.005956005952564953,0.8688296253837824,0.009178886694124066
faceframe_second10_frame329_2,0.002727231376096628,0.003811491216660893,0.004086661643146483,0.9504660844647135,0.0033384106195248012,0.002634391841428089
faceframe_second10_frame329_3,1.11332877085148e-309,1.0,1.362637260816475e-309,1.48421479915384e-309,1.705330035188245e-309,1.097833074128766e-309
faceframe_second10_frame329_4,0.05755106528010829,0.045004201584186145,0.04562230142333907,0.039847944682357576,0.057966741551813944,0.054021864580098375
faceframe_second10_frame329_5,1.333723604809585e-309,1.48239576443375e-309,1.592057860226115e-309,1.27304669961244e-309,2.884806221608247e-309,1.0
faceframe_second11_frame337_0,0.01971517136863277,0.02806714498991939,0.529155738199635,0.03598382142989897,0.02975853022556541,0.02854638284693572
faceframe_second11_frame337_1,0.002891349039963381,0.0040547622176639285,0.004327461892548698,0.9083373043611364,0.0035422935296639145,0.0027922295748758637
faceframe_second11_frame337_2,0.005589465305624011,0.005448218046651827,0.004809933317497782,0.004287513114297759,0.9239819906602484,0.006607953016049586
faceframe_second11_frame337_3,0.007146591621924917,0.9541715171136117,0.008760181228222225,0.009556294042941465,0.011002864176075397,0.0070506871436950575
faceframe_second11_frame337_4,0.05756901762892411,0.04501115205073271,0.04559558812644238,0.039855513871092686,0.05796391644795347,0.05400175990515093
faceframe_second11_frame337_5,0.008476931725434164,0.009415906618985255,0.01004908639742405,0.008077677741577726,0.018246617138037245,0.9397676553890214
faceframe_second11_frame344_0,0.019723772099624854,0.02810204729466933,0.5100748623950598,0.03606558195450628,0.02976738336033949,0.028606115557010474
faceframe_second11_frame344_1,0.007517986702902162,0.9311379213109245,0.009203185034824281,0.010047096527159878,0.011566133301440629,0.007407603803299907
faceframe_second11_frame344_2,0.004909772284466673,0.004825142242670732,0.004265259412472354,0.00380001052025197,0.947076774957099,0.005829260980017042
faceframe_second11_frame344_3,1.10673874208913e-309,1.543133495260795e-309,1.674024548441803e-309,1.0,1.35484205141164e-309,1.07193092554242e-309
faceframe_second11_frame344_4,0.057070626734778925,0.04468810294238189,0.04539398642109083,0.039627613059077506,0.05755438464125367,0.0538225484131692
faceframe_second11_frame344_5,0.009725618421218522,0.010806634578511852,0.011520840167827728,0.009267010571359985,0.02091650074662901,0.9309019112177903
faceframe_second11_frame351_0,0.019750865485880165,0.028264828341505257,0.43719244565646614,0.036343074445203814,0.02981583895799404,0.028806066250545697
faceframe_second11_frame351_1,0.00255722652236642,0.00358101485743836,0.003830760984839234,0.9344927377528621,0.003129624395229709,0.002468515061325521
faceframe_second11_frame351_2,0.005990274106047219,0.9141877719760395,0.007343688495658996,0.008043961024046618,0.009224678828269934,0.005895280826239234
faceframe_second11_frame351_3,1.737135248649707e-309,1.70801709640258e-309,1.50632653912821e-309,1.344099866599666e-309,1.0,2.07351029750702e-309
faceframe_second11_frame351_4,0.05753230264928803,0.044983903295093025,0.04555533512076306,0.039793749849096435,0.05789234947611622,0.053913889012366864
faceframe_second11_frame351_5,0.010829350493378928,0.012048541027327683,0.012828945145129307,0.010323358461727142,0.02328024439252284,0.923652866692955
faceframe_second11_frame359_0,0.006993693692326456,0.9020704941751613,0.008585679649254968,0.009395270876667519,0.010790646082381764,0.006895047224148351
faceframe_second11_frame359_1,0.00043988297166347174,0.0006100780100892283,0.9902167638091874,0.000762434880140391,0.0006561764279056129,0.0005882448836504921
faceframe_second11_frame359_2,0.00210964592151535,0.0020716647245267294,0.0018275429125542185,0.0016296035032666739,0.986753708308655,0.002511733499324235
faceframe_second11_frame359_3,1.105015345101623e-309,1.549601764290884e-309,1.67542465946833e-309,1.0,1.35411543075147e-309,1.070704632089363e-309
