name,cluster,x,y,second,frame,anger,neutral,disgust,happy,sadness,fear,surprise,contempt
faceframe_second0_frame29_2,2,14.035991,-2.1827133,0,29,0.21967481076717377,0.15866844356060028,0.1407572478055954,0.11131283640861511,0.10774250328540802,,,
faceframe_second0_frame29_3,3,10.275605,7.114623,0,29,0.16377651691436768,0.1345365196466446,0.14613907039165497,,0.16560865938663483,0.1028888151049614,,
faceframe_second0_frame29_4,-1,0.058822595,27.21532,0,29,0.1679593026638031,0.1195884570479393,0.129293292760849,,0.24632303416728973,0.14408248662948608,,
faceframe_second0_frame29_5,5,-11.867216,-14.921282,0,29,0.0975518450140953,0.2878785729408264,0.13460715115070343,,0.1810620129108429,,0.1041865348815918,
faceframe_second0_frame7_0,4,6.2897553,19.43861,0,7,0.1511475294828415,0.1420237123966217,0.25731608271598816,0.1572062373161316,,0.09820463508367538,,
faceframe_second0_frame7_1,4,-5.1937857,10.525695,0,7,0.19389912486076355,0.16394391655921936,0.14588797092437744,0.12074525654315948,0.11028493940830231,,,
faceframe_second0_frame7_2,2,13.978325,-2.1941376,0,7,0.23695877194404602,0.14803755283355713,0.16368916630744934,0.11080177128314972,0.10168356448411942,,,
faceframe_second0_frame7_3,-1,0.043774303,27.231285,0,7,0.1679593026638031,0.1195884570479393,0.129293292760849,,0.24632303416728973,0.14408248662948608,,
faceframe_second0_frame7_4,5,-11.713837,-14.751855,0,7,0.1364584118127823,0.2538655996322632,0.08107224851846695,,0.25371578335762024,,,0.09295515716075897
faceframe_second0_frame7_5,3,10.383778,7.2208962,0,7,0.14785221219062805,0.14286725223064423,0.16675575077533722,0.11227582395076752,0.13310971856117249,,,
faceframe_second10_frame307_0,2,13.175872,-1.4025006,10,307,0.19671763479709625,0.12509192526340485,0.23219725489616394,0.11264190822839737,0.09180200845003128,,,
faceframe_second10_frame307_1,4,-2.3513293,11.4538145,10,307,0.11788860708475113,0.10891831666231155,0.19325979053974152,0.23102723062038422,,,0.10091688483953476,
faceframe_second10_frame307_2,1,22.80893,13.465876,10,307,0.08651109039783478,0.07907874882221222,0.12161397188901901,0.4158783555030823,,,0.07789846509695053,
faceframe_second10_frame307_3,3,7.936113,4.5833797,10,307,0.14855772256851196,0.16683268547058105,0.16438128054141998,,0.14669492840766907,,,0.09827131032943726
faceframe_second10_frame307_4,-1,2.4725013,-15.052717,10,307,0.13682618737220764,0.14533847570419312,0.15021930634975433,,0.21065835654735565,0.1477353572845459,,
faceframe_second10_frame307_5,5,-8.720476,1.2551072,10,307,0.10119203478097916,0.354440301656723,0.09927642345428467,,0.15394523739814758,,0.09734795987606049,
faceframe_second10_frame314_0,2,13.218655,-1.517928,10,314,0.20370665192604065,0.12295791506767273,0.22121012210845947,0.11917439103126526,,,,0.09049415588378906
faceframe_second10_frame314_1,4,-2.6359262,11.424144,10,314,0.13219894468784332,0.1116778701543808,0.17529340088367462,0.20517325401306152,,,,0.10824957489967346
faceframe_second10_frame314_2,1,22.823103,13.43489,10,314,0.08658348023891449,0.08240777254104614,0.1403616964817047,0.38341888785362244,,,,0.08363296836614609
faceframe_second10_frame314_3,3,7.9715185,4.602014,10,314,0.1804424524307251,0.13066361844539642,0.1408786028623581,,0.19664986431598663,,,0.10647289454936981
faceframe_second10_frame314_4,-1,2.3548148,-15.195701,10,314,0.13682618737220764,0.14533847570419312,0.15021930634975433,,0.21065835654735565,0.1477353572845459,,
faceframe_second10_frame314_5,5,-8.706028,1.3006247,10,314,0.10119203478097916,0.354440301656723,0.09927642345428467,,0.15394523739814758,,0.09734795987606049,
faceframe_second10_frame321_0,2,13.339992,-1.6673783,10,321,0.20304112136363983,0.12902015447616577,0.19577063620090485,0.12146411836147308,0.09451030939817429,,,
faceframe_second10_frame321_1,4,-2.6270378,11.407347,10,321,0.1335572600364685,0.10910377651453018,0.1731777787208557,0.20518440008163452,,,,0.10827052593231201
faceframe_second10_frame321_2,1,22.782389,13.407581,10,321,0.08378056436777115,0.07933498919010162,0.11320316791534424,0.4310446083545685,,,0.07768257707357407,
