,0,1,2,3,4,5,6,7,8
faceframe_second100_frame2921_0,0.023650708893106956,0.03380480925834702,0.03269290728273075,0.037350390223797915,0.03343069827353608,0.04202598733476536,0.1700388924488336,0.05671757716165251,0.09799888684471361
faceframe_second100_frame2921_1,0.0046807206675196725,0.008339673516353004,0.005278389004519265,0.005231003751149713,0.0055025760347702036,0.005998740410403381,0.005908842473936089,0.004348025110978987,0.004982398949336808
faceframe_second100_frame2921_2,0.014254900486143243,0.028679546647044512,0.024544677630168602,0.03433662904068232,0.016833669591545634,0.019046174644996007,0.025015610133849186,0.037876214696756026,0.04417157321480274
faceframe_second100_frame2921_3,1.407334998646873e-309,2.134174212007584e-309,2.312472940230446e-309,2.61847144352316e-309,1.883054250127786e-309,1.977685949993774e-309,2.811244105213685e-309,1.0,1.044825772521625e-308
faceframe_second100_frame2928_0,0.014249775983592568,0.028672734016134408,0.024539876517257888,0.03433049798037746,0.016826100889484552,0.019036944827842118,0.02499286209123663,0.037835839183333636,0.04411291035654514
faceframe_second100_frame2928_1,0.023763788686278244,0.033951585912823934,0.03286606380631499,0.037582206715819494,0.03360111917832782,0.04232187474479617,0.17165395076158974,0.056740695051684574,0.0979767555155359
faceframe_second100_frame2928_2,0.004662963167021357,0.008272638161848424,0.005256012516168477,0.0052074674873498015,0.005481492378917085,0.005979241014322179,0.005898361183965816,0.004330927864704297,0.00496347625335222
faceframe_second100_frame2928_3,1.41031014087851e-309,2.14190561267991e-309,2.32034616467686e-309,2.62675006237246e-309,1.89009665375301e-309,1.985385240888653e-309,2.824208133168166e-309,1.0,1.0615228017668774e-308
faceframe_second101_frame2935_0,0.023749041947779652,0.0338908439152132,0.03278761183826968,0.03760519460304593,0.03352820055329064,0.04234464440552181,0.16970533326586482,0.05639533520121643,0.09728303641700058
faceframe_second101_frame2935_1,0.004677231730124376,0.008326081436067546,0.005273967467142421,0.0052263371787333035,0.005498434803104622,0.005994953001027631,0.005906923997142823,0.0043446582174261296,0.004978682259574209
