,0,1,2,3,4
faceframe_second101_frame2034_0,1.18684583366403e-309,1.17401745763284e-309,1.0,1.70949845538955e-309,2.33096481221404e-309
faceframe_second101_frame2034_1,0.8889817818771371,0.028535496375829594,0.02590314432567931,0.028587657752468704,0.027991919668885142
faceframe_second101_frame2039_0,0.01412612553405581,0.014187496219695972,0.92352113794125,0.020314556320664805,0.027850683984333505
faceframe_second101_frame2039_1,0.890944903859191,0.028096786013722837,0.025476282445285436,0.028014548478283656,0.027467479203517015
faceframe_second102_frame2044_0,0.007259863576599936,0.007241026543327705,0.9606806036596842,0.010478565668420535,0.014339940551967623
faceframe_second102_frame2044_1,0.9016401353321523,0.025321063083571446,0.023004036806001937,0.025262710059386233,0.02477205471888824
faceframe_second102_frame2049_0,0.019903060135032784,0.020096652814103347,0.892236612219863,0.02853394281269416,0.03922973201830677
faceframe_second102_frame2049_1,0.8877227617610286,0.028771760139672434,0.026117204841692925,0.02902334595791744,0.028364927299688706
faceframe_second102_frame2054_0,0.022309021651921064,0.02258914367848658,0.8790655497300043,0.03197925113600174,0.04405703380358625
faceframe_second102_frame2054_1,0.8821188132379104,0.030288724238393253,0.027445715248247154,0.030386403823461517,0.029760343451987758
faceframe_second4_frame89_0,0.012795997105139102,0.011413791883874945,0.013155150003856647,0.02126223902338492,0.018517262454918772
faceframe_second4_frame89_1,0.003263533742905714,0.0039582860206328506,0.004405574215953832,0.9384939305526006,0.013317283154088644
faceframe_second4_frame89_2,0.008202462911080993,0.010352003619284924,0.9530835457451274,0.011539357391980894,0.016822630332525762
faceframe_second4_frame89_3,0.9253888939271439,0.019242095459645857,0.017459933740003538,0.01912323489620878,0.018785841976998126
faceframe_second4_frame89_4,0.13215066725129357,0.09011223453209902,0.19925295841514265,0.1345254066386484,0.14051049922052108
faceframe_second4_frame94_0,0.012805888952430325,0.011401061597230954,0.013146725422517973,0.02125979842649699,0.01849235155325168
faceframe_second4_frame94_1,0.003744860172293152,0.004543609706214515,0.005055915800847766,0.9292817372401452,0.015271105502310044
faceframe_second4_frame94_2,0.009697399582466456,0.012223398333724432,0.9446795496933365,0.013603725146568046,0.019795927243904568
faceframe_second4_frame94_3,0.13214988077469136,0.09011140142062182,0.19924967700264135,0.13452415536609738,0.14050891133723645
faceframe_second4_frame94_4,0.9091406226739216,0.02348454442729221,0.021097849929008768,0.023389286636328815,0.02288769633344849
faceframe_second4_frame99_0,0.012812539213309384,0.011389002915003181,0.013138226734281446,0.021249556120633593,0.018466903773850782
faceframe_second4_frame99_1,0.011117286037463987,0.013924851760168453,0.9353693392038427,0.01596984748180006,0.023618675516724915
faceframe_second4_frame99_2,1.293883013507923e-309,1.56543498333866e-309,1.74473226962966e-309,1.0,5.296320824130517e-309
